timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1713939790765,3,GO,200,OK,CATEGORIA_POST 1-1,text,true,,481,230,52,52,http://localhost:3000/api/v1/inventario/categorias,3,0,0
1713939790768,4,JAVA,201,,CATEGORIA_POST 1-1,,true,,121,232,53,53,http://localhost:8080/api/v1/inventario/categorias,4,0,0
1713939790289,503,PYTHON,201,Created,CATEGORIA_POST 1-29,text,true,,370,234,53,53,http://localhost:8000/api/v1/inventario/categorias,503,0,1
1713939790793,4,GO,200,OK,CATEGORIA_POST 1-29,text,true,,481,230,53,53,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939790308,491,PYTHON,201,Created,CATEGORIA_POST 1-14,text,true,,370,234,53,53,http://localhost:8000/api/v1/inventario/categorias,490,0,1
1713939790799,3,GO,200,OK,CATEGORIA_POST 1-14,text,true,,481,230,53,53,http://localhost:3000/api/v1/inventario/categorias,3,0,0
1713939790798,5,JAVA,201,,CATEGORIA_POST 1-29,,true,,121,232,53,53,http://localhost:8080/api/v1/inventario/categorias,5,0,0
1713939790802,3,JAVA,201,,CATEGORIA_POST 1-14,,true,,121,232,53,53,http://localhost:8080/api/v1/inventario/categorias,3,0,0
1713939790311,510,PYTHON,201,Created,CATEGORIA_POST 1-30,text,true,,370,234,54,54,http://localhost:8000/api/v1/inventario/categorias,510,0,0
1713939790821,5,GO,200,OK,CATEGORIA_POST 1-30,text,true,,481,230,54,54,http://localhost:3000/api/v1/inventario/categorias,5,0,1
1713939790826,6,JAVA,201,,CATEGORIA_POST 1-30,,true,,121,232,55,55,http://localhost:8080/api/v1/inventario/categorias,6,0,1
1713939790314,524,PYTHON,201,Created,CATEGORIA_POST 1-7,text,true,,370,234,55,55,http://localhost:8000/api/v1/inventario/categorias,524,0,1
1713939790838,4,GO,200,OK,CATEGORIA_POST 1-7,text,true,,481,230,55,55,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939790842,3,JAVA,201,,CATEGORIA_POST 1-7,,true,,121,232,55,55,http://localhost:8080/api/v1/inventario/categorias,3,0,0
1713939790326,528,PYTHON,201,Created,CATEGORIA_POST 1-31,text,true,,370,234,56,56,http://localhost:8000/api/v1/inventario/categorias,527,0,1
1713939790854,4,GO,200,OK,CATEGORIA_POST 1-31,text,true,,481,230,56,56,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939790859,4,JAVA,201,,CATEGORIA_POST 1-31,,true,,121,232,56,56,http://localhost:8080/api/v1/inventario/categorias,4,0,0
1713939790346,524,PYTHON,201,Created,CATEGORIA_POST 1-15,text,true,,370,234,57,57,http://localhost:8000/api/v1/inventario/categorias,524,0,0
1713939790870,3,GO,200,OK,CATEGORIA_POST 1-15,text,true,,481,230,57,57,http://localhost:3000/api/v1/inventario/categorias,3,0,0
1713939790873,4,JAVA,201,,CATEGORIA_POST 1-15,,true,,121,232,57,57,http://localhost:8080/api/v1/inventario/categorias,4,0,0
1713939790350,538,PYTHON,201,Created,CATEGORIA_POST 1-32,text,true,,370,234,58,58,http://localhost:8000/api/v1/inventario/categorias,538,0,1
1713939790888,5,GO,200,OK,CATEGORIA_POST 1-32,text,true,,481,230,58,58,http://localhost:3000/api/v1/inventario/categorias,5,0,1
1713939790894,5,JAVA,201,,CATEGORIA_POST 1-32,,true,,121,232,58,58,http://localhost:8080/api/v1/inventario/categorias,5,0,0
1713939790355,555,PYTHON,201,Created,CATEGORIA_POST 1-16,text,true,,370,234,59,59,http://localhost:8000/api/v1/inventario/categorias,555,0,0
1713939790370,543,PYTHON,201,Created,CATEGORIA_POST 1-33,text,true,,370,234,59,59,http://localhost:8000/api/v1/inventario/categorias,543,0,0
1713939790910,4,GO,200,OK,CATEGORIA_POST 1-16,text,true,,481,230,59,59,http://localhost:3000/api/v1/inventario/categorias,4,0,0
1713939790914,3,JAVA,201,,CATEGORIA_POST 1-16,,true,,121,232,59,59,http://localhost:8080/api/v1/inventario/categorias,3,0,0
1713939790913,5,GO,200,OK,CATEGORIA_POST 1-33,text,true,,481,230,59,59,http://localhost:3000/api/v1/inventario/categorias,5,0,1
1713939790919,4,JAVA,201,,CATEGORIA_POST 1-33,,true,,121,232,59,59,http://localhost:8080/api/v1/inventario/categorias,4,0,0
1713939790372,560,PYTHON,201,Created,CATEGORIA_POST 1-8,text,true,,370,234,60,60,http://localhost:8000/api/v1/inventario/categorias,560,0,1
1713939790932,3,GO,200,OK,CATEGORIA_POST 1-8,text,true,,481,230,60,60,http://localhost:3000/api/v1/inventario/categorias,3,0,0
1713939790935,3,JAVA,201,,CATEGORIA_POST 1-8,,true,,121,232,60,60,http://localhost:8080/api/v1/inventario/categorias,3,0,0
1713939790389,560,PYTHON,201,Created,CATEGORIA_POST 1-34,text,true,,370,234,61,61,http://localhost:8000/api/v1/inventario/categorias,560,0,0
1713939790949,5,GO,200,OK,CATEGORIA_POST 1-34,text,true,,481,230,61,61,http://localhost:3000/api/v1/inventario/categorias,5,0,0
1713939790954,7,JAVA,201,,CATEGORIA_POST 1-34,,true,,121,232,61,61,http://localhost:8080/api/v1/inventario/categorias,7,0,1
1713939790403,573,PYTHON,201,Created,CATEGORIA_POST 1-17,text,true,,370,234,62,62,http://localhost:8000/api/v1/inventario/categorias,573,0,1
1713939790976,5,GO,200,OK,CATEGORIA_POST 1-17,text,true,,481,230,62,62,http://localhost:3000/api/v1/inventario/categorias,5,0,0
